complaint_text,category
"Water supply has been disrupted in our area for the past 5 days. Please resolve this issue urgently.",Utilities
"Street lights are not working in sector 12 making it unsafe at night.",Infrastructure
"Garbage collection has not happened in our locality for 2 weeks. Piles of waste are accumulating.",Sanitation
"There is a major pothole on the main road causing accidents every day.",Infrastructure
"No response from electricity department regarding frequent power cuts in our area.",Utilities
"Stray dogs are creating nuisance and attacked a child yesterday near the hospital.",Public Safety
"Municipal office staff is rude and not providing proper information about property tax.",Administration
"Drainage system is clogged causing waterlogging during rains.",Sanitation
"Government hospital lacks basic medical supplies and staff is insufficient.",Healthcare
"Road construction work has been abandoned midway for 3 months.",Infrastructure
"Illegal construction is happening in residential area without proper permissions.",Administration
"Bus service frequency is very low causing problems for daily commuters.",Infrastructure
"Public toilet near market is in very poor condition and unhygienic.",Sanitation
"Emergency ambulance service number is not responding during emergencies.",Healthcare
"Traffic signals are not functioning properly leading to chaos at intersections.",Public Safety
"Unauthorized vendors are blocking footpaths making it difficult to walk.",Administration
"Mosquito menace is increasing due to stagnant water in our colony.",Healthcare
"Fire safety equipment in community center is outdated and not maintained.",Public Safety
"Street name boards are missing making it difficult for visitors to navigate.",Administration
"Public park is not maintained and playground equipment is broken.",Infrastructure
"Water contamination in our area causing health issues to residents.",Utilities
"Electricity meters are faulty and showing incorrect readings.",Utilities
"School building is in dilapidated condition posing risk to students.",Infrastructure
"Sewer line is broken causing overflow on the main road near hospital causing emergency.",Sanitation
"Birth certificate application submitted 2 months ago but not processed yet.",Administration
"Street vendors are using loud speakers beyond permitted hours.",Administration
"Public library has limited books and poor seating arrangements.",Administration
"Ration card renewal process is very complicated and time consuming.",Administration
"Government website for online services is frequently down.",Administration
"Pension payments are delayed for senior citizens for last 3 months.",Administration
"No proper security at government office premises leading to theft incidents.",Public Safety
"Railway crossing gate is often stuck causing traffic jams.",Infrastructure
"Air pollution levels are very high due to nearby industrial units.",Healthcare
"Street cleaning is irregular in our sector.",Sanitation
"Water pressure is very low during peak hours.",Utilities
"Footpath tiles are broken causing accidents especially for elderly people.",Infrastructure
"No proper waste segregation system in residential areas.",Sanitation
"Traffic police not taking action against wrong parking.",Public Safety
"Community hall booking system is not transparent.",Administration
"Playground is being encroached by unauthorized persons.",Administration
"Power transformer near residential area making loud noise causing disturbance.",Utilities
